,symbol,name,isin,sector,industry,country,exchange
106,ALTOO,TOOSLA,CH0001689683,,,,Euronext Growth Paris
107,ALTRI,TRILOGIQ,PTALT0AE0002,,,,Euronext Growth Paris
108,ALTRO,TRONICS,ZAE000191342,,,,Euronext Growth Paris
109,ALTUR,ALTUR INVEST.,ROALTCACNOR1,,,,Euronext Paris
110,ALUCI,LUCIBEL,GRS289103004,,,,Euronext Growth Paris
111,ALUCR,UCAR,ARALUA010258,,,,Euronext Growth Paris
112,ALUMS,UMANIS,GB0000280353,,,,Euronext Growth Paris
113,ALVER,VERGNET,FR0013253812,,,,Euronext Growth Paris
114,ALVIV,VISIATIV,INE461H01011,,,,Euronext Growth Paris
115,ALWF,WINFARM,CH0453226893,,,,Euronext Growth Paris
116,AMPLI,AMPLITUDE SURGICAL,FR0012789667,,,,Euronext Paris
117,AMUN,AMUNDI,FR0004125920,,,,Euronext Paris
118,AMUND,ALMUNDA PRO NV,CH0002271010,,,,Euronext Amsterdam
119,ANDF,ANDFJORD SALMON,NO0010829765,,,,Euronext Growth Oslo
120,ANGL,,US92189F4375,,,,
121,ANTIN,ANTIN INFRA PARTN,FR0014005AL0,,,,Euronext Paris
122,ANTO,,GB0000455849,,,,
123,AOW,AKER OFFSHORE WIND,JP3105900009,,,,Euronext Growth Oslo
124,APA,,US03743Q1085,,,,
125,APAX,,PLAPATR00018,,,,
126,ARAMI,ARAMIS GROUP,FR0014003U94,,,,Euronext Paris
127,ARCAD,ARCADIS,AU0000145815,,,,Euronext Amsterdam
128,ARDO,ARDOIN ST AMAND B,FR0005057635,,,,Euronext Access Paris
129,ARGEO,ARGEO,NO0010946593,,,,Euronext Growth Oslo
130,ARTO,ARTOIS NOM.,INE133D01023,,,,Euronext Paris
131,ASET,,US33939L7385,,,,
132,ASHM,,JP3118400005,,,,
133,ASIT,ASIT,SE0003036821,,,,Euronext Brussels
134,ASPCW,,ROCMPSACNOR9,,,,
135,ASTRO,ASTROCAST,AU000000ARO8,,,,Euronext Growth Oslo
136,ATEB,ATENOR,PLATMSI00016,,,,Euronext Brussels
137,ATEME,ATEME,FR0011992700,,,,Euronext Paris
138,ATSPT,,US0395623012,,,,
139,ATSPU,,US0395622022,,,,
140,AURE,AUREA,FR0000039232,,,,Euronext Paris
141,AURS,AURES TECHNOLOGIES,NO0006001601,,,,Euronext Paris
142,AVV,,INE461H01011,,,,
143,AXW,AXWAY SOFTWARE,FR0011040500,,,,Euronext Paris
144,AYFIE,AYFIE GROUP,AU000000MFD1,,,,Euronext Growth Oslo
145,AZE,AZELIS GROUP,JP3120070002,,,,Euronext Brussels
146,BAB,,US46138G8050,,,,
147,BACE,BRIGADE M3 SHA,SE0008015259,,,,Euronext Amsterdam
148,BAIN,BAINS MER MONACO,FR0000051302,,,,Euronext Paris
149,BALTA,BALTA GROUP,BE0974314461,,,,Euronext Brussels
150,BALYO,BALYO,INE119R01014,,,,Euronext Paris
151,BARC,,JP3778310007,,,,
152,BARRA,BARRAMUNDI GROUP,NZBRME0001S2,,,,Euronext Growth Oslo
153,BAS,BASILIX CERT,RU0007976957,,,,Euronext Brussels
154,BASS,BASSAC,AU000000BAS3,,,,Euronext Paris
155,BBED,BETER BED,LU1068091351,,,,Euronext Amsterdam
156,BBH,,US92189F7261,,,,
157,BEAB,BEAULIEU-AV. CERT,NET000BODY01,,,,Euronext Brussels
158,BEEMW,,NET000SPR123,,,,
159,BEKB,BEKAERT,CH0009691608,,,,Euronext Brussels
160,BELR,BELRECA,BE0020575115,,,,Euronext Brussels
161,BELU,BELUGA,BE0003723377,,,,Euronext Brussels
162,BENER,,FI4000507488,,,,
163,BENEW,,FI4000507488,,,,
164,BERR,FIN.ETANG BERRE,DE0008214800,,,,Euronext Paris
165,BEVER,BEVER HOLDING,NL0000285278,,,,Euronext Amsterdam
166,BFIT,,US37954Y7985,,,,
167,BGRYW,,GB00BVDPPV41,,,,
168,BIB,,US74347R2141,,,,
169,BICK,,US33733H1077,,,,
170,BIFF,,ROBIOFACNOR9,,,,
171,BIM,BIOMERIEUX,IT0000074077,,,,Euronext Paris
172,BIOTW,,NET000CABIO1,,,,
173,BIRG,BANK OF IRELAND GP,NET000BIRD01,,,,Euronext Dublin
174,BIS,,US74347B7890,,,,
175,BJK,,US92189F8822,,,,
176,BLEE,BLEECKER,FR0000062150,,,,Euronext Paris
177,BLEUU,,KYG117281215,,,,
178,BLV,BELIEVE,US9219377937,,,,Euronext Paris
179,BMAQR,,DE000A0M93V6,,,,
180,BNB,BQUE NAT. BELGIQUE,KR7138930003,,,,Euronext Brussels
181,BNBS,DRONE VOLT BS26,CH0012684657,,,,Euronext Growth Paris
182,BND,,US9219378356,,,,
183,BNDX,,US92203J4076,,,,
184,BNGO,,US09075F1075,,,,
185,BNKR,,ID1000099708,,,,
186,BOKA,BOSKALIS WESTMIN,SE0008091581,,,,Euronext Amsterdam
187,BOLS,LUCASBOLS,NL0010998878,,,,Euronext Amsterdam
188,BOTHE,BONE THERAPEUTICS,JP3647600000,,,,Euronext Brussels
189,BOTZ,,US37954Y7159,,,,
190,BPOST,BPOST,FR0011814938,,,,Euronext Brussels
191,BRA,BRABANK,DK0061670205,,,,Euronext Growth Oslo
192,BRBY,,AU000000BBN2,,,,
193,BRILL,BRILL KON,NL0000442523,,,,Euronext Amsterdam
194,BRLIR,,DE0005272702,,,,
195,BRLIW,,DE0005272702,,,,
196,BRPMW,,SE0002016352,,,,
197,BRSC,,FR0004034320,,,,
198,BSCM,,US46138J8826,,,,
199,BSCN,,US46138J8669,,,,
200,BSCO,,US46138J8412,,,,
201,BSCP,,US46138J8255,,,,
202,BSCQ,,US46138J7919,,,,
203,BSD,BOURSE DIRECT,JP3799680008,,,,Euronext Paris
204,BSGAR,,FI4000507488,,,,
205,BSJM,,US46138J8743,,,,
206,BSJN,,US46138J8586,,,,
207,BSJO,,US46138J8339,,,,
208,BTEC,,US74255Y4098,,,,
209,BTWNW,,AU000000TTA3,,,,
210,BVI,BUREAU VERITAS,DE0005229504,,,,Euronext Paris
211,BYG,,NO0003087603,,,,
212,CAFO,CAFOM,GB0001615219,,,,Euronext Paris
213,CAMB,CAMPINE,IM00B28CVH58,,,,Euronext Brussels
214,CAMBI,CAMBI,NO0010078850,,,,Euronext Growth Oslo
215,CAP,CAPGEMINI,AU0000XINAS1,,,,Euronext Paris
216,CAPLI,CAPELLI,INE475E01026,,,,Euronext Paris
217,CAPSL,CO2 CAPSOL,DE000A2G9M17,,,,Euronext Growth Oslo
218,CARM,CARMILA,JP3512740006,,,,Euronext Paris
219,CARP,CARPINIENNE PART.,DE000A1MBGZ3,,,,Euronext Paris
220,CARZ,,US33734X3098,,,,
221,CATH,,US37954Y8892,,,,
222,CATR,CATERPILLAR INC,FR0000064446,,,,Euronext Paris
223,CBOT,CBO TERRITORIA,FR0010193979,,,,Euronext Paris
224,CCC,,PLCCC0000016,,,,
225,CCH,,SG2B96959558,,,,
226,CCN,CRCAM NORM.SEINE,FR0000044364,,,,Euronext Paris
227,CCR,,FR0000045346,,,,
228,CDA,ALPES (COMPAGNIE),FR0000053324,,,,Euronext Paris
229,CDC,,US92647N8240,,,,
230,CENER,CENERGY,BE0974303357,,,,Euronext Brussels
231,CFA,,US92647N7663,,,,
232,CFO,,US92647N7820,,,,
233,CGG,CGG,FR0013181864,,,,Euronext Paris
234,CHRY,,AU000000PIL1,,,,
235,CIBR,,US33734X8469,,,,
236,CIL,,US92647N8406,,,,
237,CIRCA,CIRCA GROUP,NO0010917594,,,,Euronext Growth Oslo
238,CIV,CRCAM ILLE-VIL.CCI,FR0000045213,,,,Euronext Paris
239,CIZ,,US92647N8166,,,,
240,CLA,CLARANOVA,FR0013426004,,,,Euronext Paris
241,CLEX,CUMULEX,DE000A1EWXA4,,,,Euronext Brussels
242,CMAXW,,GB00BNLPYF73,,,,
243,CMCAU,,KYG1889L1187,,,,
244,CMCX,,JP3347170007,,,,
245,CMO,CRCAM MORBIHAN CCI,GB00BMB5Y385,,,,Euronext Paris
246,CNCR,,US26922A8264,,,,
247,CNGLU,,US13767K2006,,,,
248,COA,,DE000A0WMJQ4,,,,
249,COFA,COFACE,FR0010667147,,,,Euronext Paris
250,COLR,COLRUYT,COD02PA00018,,,,Euronext Brussels
251,COM,CNIM GROUP,US25460E3071,,,,Euronext Paris
252,COV,COVIVIO,FR0000064578,,,,Euronext Paris
253,COX,NICOX,FR0013018124,,,,Euronext Paris
254,CPI,,US45409B6020,,,,
255,CRAP,CRCAM ALP.PROV.CCI,CA22459L1031,,,,Euronext Paris
256,CRAV,CRCAM ATL.VEND.CCI,INE145E01017,,,,Euronext Paris
257,CRBN,CORBION,US46434V4648,,,,Euronext Amsterdam
258,CRG,CRH PLC ord,IE0001827041,,,,Euronext Dublin
259,CROS,CROSSWOOD,FR0000050395,,,,Euronext Paris
260,CSA,,US92647N8323,,,,
261,CSAM,CSAM HEALTH GROUP,NO0010894512,,,,Euronext Growth Oslo
262,CSB,,US92647N8737,,,,
263,CSF,,US92647N7747,,,,
264,CSS,CLEAN SEAS SEAFOOD,JP3425500000,,,,Euronext Growth Oslo
265,CSSEN,,PLENTER00017,,,,
266,CTAC,CTAC,NL0000345577,,,,Euronext Amsterdam
267,CTAQW,,FI4000507488,,,,
268,CUR,AGUAS DA CURIA,JP3220900009,,,,Euronext Access Lisbon
269,CV,ZCI LIMITED,FR0000079634,,,,Euronext Paris
270,CXSE,,US97717X7194,,,,
271,CYVIZ,CYVIZ,NO0010015175,,,,Euronext Growth Oslo
272,DARK,,INE830S01014,,,,
273,DAX,,US37954Y4917,,,,
274,DBG,DERICHEBOURG,FR0000053381,,,,Euronext Paris
275,DBV,DBV TECHNOLOGIES,US46139B1026,,,,Euronext Paris
276,DCC,,INE132E01015,,,,
277,DEC,,INE132E01015,,,,
278,DEE,DEE TECH SHARES,US25154H4838,,,,Euronext Paris
279,DGB,DGB GROUP N.V.,KR7139130009,,,,Euronext Amsterdam
280,DGE,DIAGEO,GB0002374006,,,,Euronext Paris
281,DGM,DIAGNOSTIC MEDICAL,INE498A01018,,,,Euronext Paris
282,DGRE,,US97717W3236,,,,
283,DGRS,,US97717X6519,,,,
284,DGRW,,US97717X6691,,,,
285,DHG,DALATA HOTEL GP.,IE00BJMZDW83,,,,Euronext Dublin
286,DIE,D'IETEREN GROUP,JP3817400009,,,,Euronext Brussels
287,DIEG,DIEGEM KENNEDYCERT,DE0005580005,,,,Euronext Brussels
288,DIM,SARTORIUS STED BIO,US97717W7781,,,,Euronext Paris
289,DISL,DISTRI-LAND CERT,KR7034220004,,,,Euronext Brussels
290,DLE,DATALEX PLC,JP3548760002,,,,Euronext Growth Dublin
291,DLG,,JP3548760002,,,,
292,DLN,,US97717W3079,,,,
293,DPA,DPA GROUP,NL0009197771,,,,Euronext Amsterdam
294,DRX,,JP3282750003,,,,
295,DSY,DASSAULT SYSTEMES,FR0014003TT8,,,,Euronext Paris
296,DSY.PA,,FR0000033243,,,,
297,DUNEW,,KYG3166N1060,,,,
298,DVY,,US4642871689,,,,
299,DWAS,,US46138E8425,,,,
300,DWAT,,US0427657921,,,,
301,DXGE,,US97717W4481,,,,
302,DXJS,,US97717W5215,,,,
303,EAM,EAM SOLAR,NO0010607781,,,,Euronext Expand Oslo
304,EBOX,,NET000EVBOX7,,,,
305,EBUS,EBUSCO HOLDING,NL0015000CZ2,,,,Euronext Amsterdam
306,ECIT,ECIT AS B-AKSJER,NO0010939804,,,,Euronext Growth Oslo
307,ECO,ECOONLINE HOLDING,NO0010936891,,,,Euronext Growth Oslo
308,ECONB,ECONOCOM GROUP,JP3755800004,,,,Euronext Brussels
309,ECT,EUROCASTLE INVEST.,SE0015987714,,,,Euronext Amsterdam
